user,card_index,card_brand,card_type,card_number,expires,cvv,has_chip,cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
352,1,Mastercard,Debit (Prepaid),5.48313E+15,May-20,139,YES,2,$65 ,Aug-12,2012,No
352,2,Visa,Debit (Prepaid),4.03146E+15,Apr-18,0,YES,1,$72 ,Jun-12,2012,No
352,3,Mastercard,Debit,5.6088E+15,Jan-24,653,YES,2,"$18,526 ",May-16,2016,No
353,0,Visa,Debit,4.75176E+15,Dec-23,978,YES,2,"$6,513 ",May-04,2013,No
353,1,Mastercard,Debit,5.82792E+15,Aug-20,665,YES,1,"$5,044 ",Nov-08,2008,No
354,0,Visa,Debit,4.96484E+15,Aug-23,692,NO,2,"$25,079 ",Jul-07,2008,No
354,1,Visa,Debit,4.78646E+15,Apr-24,463,YES,1,"$39,578 ",Apr-19,2019,No
354,2,Visa,Debit,4.78011E+15,Oct-22,498,YES,1,"$36,641 ",Jan-09,2009,No
355,0,Visa,Debit,4.73219E+15,Nov-23,875,YES,1,"$1,083 ",Jan-20,2020,No
355,1,Mastercard,Debit,5.57997E+15,Mar-21,908,YES,1,"$9,628 ",Feb-20,2020,No
356,0,Amex,Credit,3.64782E+14,Sep-24,787,YES,2,"$13,500 ",Jan-20,2020,No
356,1,Visa,Debit,4.33285E+15,May-19,247,YES,2,"$12,512 ",Oct-10,2012,No
356,2,Visa,Debit,4.8742E+15,Apr-23,234,YES,2,"$21,442 ",Apr-08,2015,No
356,3,Mastercard,Debit (Prepaid),5.49191E+15,Apr-24,256,YES,2,$69 ,Jan-09,2013,No
357,0,Visa,Debit,4.12343E+15,Jun-22,929,NO,2,"$22,700 ",Jan-20,2020,No
357,1,Visa,Debit (Prepaid),4.47738E+15,Feb-20,256,YES,2,$60 ,Feb-20,2020,No
358,0,Visa,Debit (Prepaid),4.29158E+15,Jul-21,284,NO,2,$80 ,Sep-08,2013,No
358,1,Visa,Credit,4.97744E+15,Oct-23,725,YES,1,"$1,300 ",May-14,2014,No
358,2,Visa,Debit,4.08383E+15,Sep-19,35,YES,1,"$40,984 ",Aug-12,2012,No
359,0,Mastercard,Debit,5.00064E+15,Jan-16,949,YES,1,"$19,536 ",Oct-11,2014,No
359,1,Mastercard,Debit,5.70695E+15,Feb-09,808,YES,1,"$9,044 ",Mar-99,2013,No
359,2,Visa,Credit,4.88013E+15,May-24,582,NO,2,"$12,500 ",Jun-18,2018,No
360,0,Mastercard,Debit,5.70935E+15,Sep-21,841,YES,2,"$2,338 ",Dec-07,2016,No
360,1,Amex,Credit,3.4025E+14,Jul-24,789,YES,1,"$3,900 ",Dec-17,2017,No
361,0,Visa,Debit,4.96993E+15,Nov-19,728,YES,2,"$12,528 ",Jan-04,2012,No
361,1,Mastercard,Debit,5.06599E+15,Mar-20,444,YES,2,"$19,756 ",Apr-99,2013,No
361,2,Mastercard,Debit,5.07415E+15,Oct-99,15,YES,1,"$2,042 ",Nov-98,2008,No
362,0,Discover,Credit,6.343E+15,Jun-20,991,YES,1,"$8,300 ",Jun-05,2013,No
362,1,Mastercard,Debit,5.17699E+15,Apr-22,744,YES,2,"$8,571 ",Aug-05,2015,No
363,0,Mastercard,Debit,5.1936E+15,Aug-20,655,YES,1,"$19,369 ",Jan-20,2020,No
363,1,Visa,Debit (Prepaid),4.65117E+15,Jul-24,135,YES,1,$70 ,Jan-20,2020,No
363,2,Mastercard,Debit,5.16933E+15,Oct-20,927,YES,1,"$15,127 ",Feb-20,2020,No
363,3,Discover,Credit,6.57573E+15,Mar-22,371,YES,1,"$9,400 ",Jan-20,2020,No
363,4,Visa,Credit,4.25467E+15,Jun-22,566,YES,2,"$5,400 ",Feb-20,2020,No
364,0,Mastercard,Debit,5.63923E+15,Jun-06,482,YES,1,"$17,167 ",Jun-06,2007,No
365,0,Mastercard,Debit,5.97452E+15,Aug-20,89,YES,1,"$25,048 ",Sep-11,2011,No
365,1,Amex,Credit,3.73197E+14,Aug-22,333,YES,1,"$25,600 ",Dec-03,2009,No
365,2,Mastercard,Debit,5.14508E+15,Jul-20,818,YES,2,"$17,257 ",Jun-07,2007,No
365,3,Mastercard,Debit,5.44625E+15,Feb-22,977,NO,2,"$31,829 ",Apr-05,2020,No
365,4,Mastercard,Debit,5.13886E+15,Sep-14,695,YES,2,"$3,991 ",Oct-08,2013,No
365,5,Mastercard,Debit,5.45084E+15,May-24,172,YES,2,"$3,991 ",Nov-06,2013,No
365,6,Mastercard,Debit,5.95784E+15,Jan-24,232,YES,2,"$34,953 ",Dec-04,2011,No
366,0,Mastercard,Debit,5.2005E+15,Nov-21,790,YES,1,"$21,726 ",Feb-18,2018,No
366,1,Visa,Debit,4.4106E+15,Aug-20,468,YES,1,"$15,063 ",May-17,2017,No
366,2,Mastercard,Debit,5.97925E+15,Jan-20,949,YES,1,"$12,596 ",Jan-20,2020,No
367,0,Visa,Debit,4.97778E+15,Jan-09,467,NO,2,"$6,335 ",May-06,2020,No
367,1,Mastercard,Debit (Prepaid),5.95326E+15,Apr-14,328,YES,1,$43 ,Aug-08,2013,No
367,2,Visa,Credit,4.45348E+15,Jan-20,438,YES,2,"$8,100 ",Jun-16,2016,No
367,3,Visa,Credit,4.48465E+15,Apr-23,400,YES,2,"$8,900 ",Feb-10,2010,No
368,0,Amex,Credit,3.97409E+14,Jan-24,358,YES,1,"$16,000 ",Aug-05,2008,No
368,1,Mastercard,Debit,5.13132E+15,Apr-11,260,YES,2,"$19,304 ",Aug-05,2010,No
368,2,Visa,Debit,4.66754E+15,Oct-20,724,YES,2,"$36,548 ",Jun-07,2015,No
368,3,Mastercard,Debit,5.4947E+15,Dec-23,105,YES,1,"$10,354 ",Feb-08,2010,No
368,4,Discover,Credit,6.05998E+15,Aug-24,661,YES,1,"$8,000 ",May-17,2017,No
369,0,Mastercard,Debit,5.07013E+15,Jan-20,795,YES,2,"$1,559 ",Jan-20,2020,No
369,1,Mastercard,Debit,5.29337E+15,Feb-20,489,YES,1,"$15,100 ",Feb-20,2020,No
370,0,Mastercard,Debit,5.69537E+15,Dec-23,110,YES,1,"$51,302 ",Oct-01,2010,No
370,1,Mastercard,Debit (Prepaid),5.72725E+15,Sep-14,184,YES,1,$80 ,Jul-03,2010,No
371,0,Visa,Credit,4.61378E+15,Oct-21,881,YES,1,"$15,800 ",Aug-10,2012,No
371,1,Visa,Credit,4.34983E+15,Nov-20,209,YES,1,"$16,800 ",Dec-11,2011,No
371,2,Visa,Debit,4.83155E+15,Nov-21,45,NO,1,"$2,508 ",Aug-05,2012,No
371,3,Visa,Credit,4.0301E+15,Dec-22,924,NO,2,"$2,600 ",Nov-13,2013,No
372,0,Mastercard,Debit,5.59884E+15,May-22,590,YES,1,"$4,851 ",Apr-05,2020,No
373,0,Mastercard,Credit,5.68844E+15,Jun-23,723,YES,1,"$7,300 ",May-10,2011,No
373,1,Mastercard,Debit,5.78788E+15,Mar-24,137,YES,1,"$18,540 ",Jul-09,2009,No
373,2,Mastercard,Debit,5.14575E+15,Feb-14,37,NO,2,"$4,072 ",Jul-10,2010,No
373,3,Mastercard,Debit,5.86787E+15,Feb-20,278,YES,1,"$1,744 ",Feb-20,2020,No
373,4,Mastercard,Debit (Prepaid),5.23302E+15,Jan-14,561,YES,2,$33 ,Jul-09,2013,No
374,0,Mastercard,Debit,5.90514E+15,Feb-20,324,YES,1,"$17,767 ",Mar-14,2014,No
374,1,Mastercard,Debit (Prepaid),5.3762E+15,Nov-22,419,YES,1,$57 ,Sep-13,2013,No
374,2,Visa,Debit,4.07807E+15,May-22,725,YES,1,"$23,011 ",Aug-10,2010,No
374,3,Mastercard,Debit,5.32054E+15,Oct-23,66,YES,1,"$21,160 ",Feb-09,2009,No
374,4,Mastercard,Debit,5.31858E+15,Dec-21,914,NO,2,"$21,291 ",Jan-20,2020,No
375,0,Visa,Credit,4.90598E+15,Oct-20,543,YES,1,"$19,100 ",Apr-18,2018,No
376,0,Mastercard,Debit,5.28578E+15,Mar-20,790,YES,2,"$7,834 ",May-96,2012,No
377,0,Visa,Debit,4.56315E+15,Dec-20,510,YES,2,"$38,317 ",Apr-14,2014,No
377,1,Visa,Debit,4.81727E+15,Oct-23,706,YES,2,"$55,693 ",Jan-00,2006,No
377,2,Visa,Debit,4.42342E+15,Nov-20,362,YES,1,"$40,710 ",Sep-10,2010,No
377,3,Mastercard,Debit,5.61428E+15,Dec-24,906,YES,2,"$61,355 ",Apr-15,2015,No
378,0,Mastercard,Credit,5.72399E+15,Feb-20,298,YES,1,"$5,300 ",Jan-20,2020,No
378,1,Mastercard,Credit,5.56861E+15,Jun-22,926,YES,1,"$15,800 ",Jan-20,2020,No
379,0,Mastercard,Debit,5.80956E+15,Jan-20,643,YES,1,"$26,219 ",Jan-20,2020,No
379,1,Discover,Credit,6.64938E+15,Feb-20,898,YES,1,"$20,400 ",Feb-20,2020,No
380,0,Mastercard,Debit,5.57858E+15,Mar-20,532,YES,1,"$28,066 ",Feb-20,2020,No
380,1,Visa,Credit,4.99578E+15,Jun-24,153,NO,2,"$19,500 ",Jan-20,2020,No
380,2,Mastercard,Credit,5.61893E+15,Apr-20,47,YES,1,"$15,100 ",Jan-20,2020,No
381,0,Mastercard,Debit,5.50439E+15,Sep-22,389,YES,1,"$9,059 ",Dec-03,2008,No
381,1,Mastercard,Credit,5.76519E+15,Mar-24,244,YES,2,"$6,300 ",Jun-14,2014,No
381,2,Mastercard,Debit,5.04959E+15,Dec-17,287,YES,1,"$12,793 ",Sep-17,2017,No
381,3,Mastercard,Credit,5.17105E+15,May-20,472,YES,1,"$7,800 ",Feb-20,2020,No
382,0,Visa,Credit,4.30434E+15,Oct-22,38,YES,1,"$14,000 ",Feb-11,2011,No
383,0,Mastercard,Debit (Prepaid),5.80281E+15,Feb-23,374,NO,1,$80 ,Feb-20,2020,No
383,1,Mastercard,Credit,5.18204E+15,Dec-24,533,YES,1,"$15,400 ",Jan-20,2020,No
384,0,Mastercard,Debit,5.17859E+15,Apr-21,647,YES,2,"$28,747 ",Apr-10,2010,No
384,1,Mastercard,Debit (Prepaid),5.41968E+15,Jul-21,690,YES,2,$110 ,May-11,2011,No
385,0,Mastercard,Debit (Prepaid),5.20755E+15,Apr-22,310,YES,2,$112 ,Oct-08,2012,No
385,1,Discover,Credit,6.13334E+15,Dec-10,252,NO,2,"$9,700 ",Jun-09,2011,No
385,2,Visa,Credit,4.01308E+15,Oct-13,359,YES,1,"$8,600 ",Nov-09,2014,No
385,3,Mastercard,Debit (Prepaid),5.58248E+15,Oct-04,949,YES,2,$43 ,Feb-01,2012,No
385,4,Mastercard,Debit,5.16068E+15,Apr-15,716,YES,2,"$19,629 ",Dec-10,2011,No
385,5,Mastercard,Credit,5.35073E+15,Apr-21,29,YES,2,"$3,400 ",Sep-03,2008,No
386,0,Mastercard,Debit,5.20829E+15,Jan-22,668,YES,2,"$20,769 ",Feb-20,2020,No
386,1,Amex,Credit,3.825E+14,Dec-22,443,YES,2,"$12,100 ",Feb-20,2020,No
386,2,Mastercard,Debit,5.56821E+15,Jun-23,658,YES,1,"$16,371 ",Feb-20,2020,No
386,3,Mastercard,Credit,5.31698E+15,Oct-20,145,YES,1,"$12,500 ",Feb-20,2020,No
386,4,Mastercard,Debit,5.54842E+15,Feb-20,573,YES,1,"$18,976 ",Feb-20,2020,No
386,5,Mastercard,Debit,5.31938E+15,Feb-20,205,YES,2,"$30,119 ",Jan-20,2020,No
387,0,Mastercard,Debit,5.12415E+15,Jul-22,255,YES,2,"$26,147 ",Mar-16,2016,No
388,0,Visa,Debit (Prepaid),4.14059E+15,Feb-20,914,YES,2,$74 ,Feb-20,2020,No
389,0,Visa,Credit,4.09896E+15,Jan-24,427,YES,1,"$7,100 ",Jan-20,2020,No
389,1,Visa,Debit,4.72899E+15,May-21,894,YES,2,"$13,964 ",Feb-20,2020,No
390,0,Visa,Credit,4.91423E+15,Nov-20,149,YES,2,"$12,000 ",Feb-05,2013,No
390,1,Mastercard,Debit,5.50335E+15,Jul-21,281,YES,2,"$14,710 ",Dec-06,2016,No
390,2,Mastercard,Credit,5.62562E+15,Feb-24,413,NO,2,"$5,600 ",May-08,2011,No
390,3,Amex,Credit,3.4069E+14,May-07,921,YES,1,"$13,600 ",Jan-07,2009,No
390,4,Mastercard,Debit,5.83626E+15,Jan-23,124,YES,2,"$14,592 ",May-02,2018,No
391,0,Mastercard,Debit,5.14402E+15,Mar-24,991,YES,1,"$16,791 ",Aug-13,2013,No
391,1,Mastercard,Debit,5.40171E+15,Sep-24,387,YES,1,"$15,909 ",Jul-08,2008,No
391,2,Mastercard,Debit,5.09044E+15,Jun-22,678,NO,2,"$13,466 ",Feb-20,2020,No
392,0,Mastercard,Debit,5.42751E+15,Nov-20,476,YES,2,"$5,066 ",Oct-08,2016,No
392,1,Visa,Debit,4.27073E+15,Sep-24,431,YES,2,"$13,452 ",Sep-05,2012,No
393,0,Visa,Debit,4.60936E+15,Jan-20,250,YES,1,"$17,652 ",Jan-20,2020,No
393,1,Visa,Debit,4.09236E+15,Jul-18,548,YES,1,"$22,566 ",May-14,2014,No
393,2,Mastercard,Debit (Prepaid),5.73976E+15,Jan-23,543,YES,2,$101 ,Feb-20,2020,No
393,3,Mastercard,Debit,5.88417E+15,Feb-09,380,YES,1,"$17,860 ",Aug-07,2010,No
393,4,Visa,Debit,4.73913E+15,Dec-24,840,YES,1,"$13,635 ",Feb-20,2020,No
393,5,Amex,Credit,3.40363E+14,Oct-24,357,YES,1,"$12,800 ",Jul-05,2014,No
393,6,Mastercard,Debit,5.13466E+15,Apr-22,682,YES,1,"$12,076 ",Feb-99,2012,No
394,0,Mastercard,Credit,5.42845E+15,May-24,692,YES,1,"$13,500 ",Feb-20,2020,No
394,1,Mastercard,Debit (Prepaid),5.16668E+15,Nov-24,462,YES,1,$38 ,Jan-20,2020,No
394,2,Mastercard,Debit (Prepaid),5.58243E+15,Sep-24,397,YES,2,$100 ,Jan-20,2020,No
395,0,Visa,Debit,4.01166E+15,Jan-23,523,YES,1,"$24,501 ",Aug-19,2019,No
395,1,Visa,Credit,4.28182E+15,Nov-20,956,YES,1,"$15,100 ",Jun-05,2011,No
395,2,Mastercard,Debit,5.5373E+15,Jul-23,933,YES,2,"$14,709 ",Dec-04,2013,No
395,3,Mastercard,Debit,5.77035E+15,Aug-20,914,NO,1,"$45,782 ",Nov-10,2015,No
396,0,Mastercard,Debit,5.08955E+15,Feb-20,625,YES,2,"$18,292 ",Jan-20,2020,No
396,1,Amex,Credit,3.57732E+14,May-20,270,YES,1,"$13,400 ",Oct-99,2012,No
396,2,Visa,Credit,4.76096E+15,May-21,81,YES,2,"$11,100 ",Jun-15,2015,No
397,0,Visa,Debit,4.55938E+15,Jan-23,791,YES,1,"$33,397 ",Feb-20,2020,No
398,0,Mastercard,Debit (Prepaid),5.97823E+15,Aug-17,310,YES,1,$80 ,Mar-02,2008,No
398,1,Visa,Credit,4.60996E+15,Mar-23,512,YES,2,"$5,400 ",May-07,2013,No
398,2,Amex,Credit,3.71781E+14,Jun-21,461,YES,2,"$11,000 ",Apr-10,2010,No
398,3,Visa,Debit,4.71728E+15,Mar-12,268,YES,1,"$8,374 ",Jun-06,2010,No
399,0,Mastercard,Debit,5.63082E+15,Mar-21,160,YES,2,"$23,691 ",Jun-09,2015,No
399,1,Visa,Debit,4.53609E+15,Dec-23,783,YES,2,"$15,817 ",Mar-10,2013,No
399,2,Mastercard,Debit,5.40388E+15,Jun-24,553,YES,2,"$36,912 ",Sep-09,2015,No
400,0,Visa,Debit,4.7523E+15,Sep-21,511,YES,2,"$36,976 ",Feb-20,2020,No
401,0,Mastercard,Debit,5.29841E+15,Jun-22,451,YES,1,"$52,121 ",Jan-20,2020,No
402,0,Mastercard,Debit,5.96988E+15,Mar-24,832,YES,1,"$12,564 ",Jan-18,2018,No
402,1,Visa,Debit,4.71938E+15,May-21,716,YES,1,"$15,981 ",Oct-08,2008,No
403,0,Visa,Debit,4.4659E+15,Dec-07,172,YES,2,"$12,758 ",Dec-07,2011,No
403,1,Mastercard,Debit (Prepaid),5.99802E+15,Jan-20,259,YES,2,$24 ,Jan-20,2020,No
403,2,Mastercard,Debit,5.75383E+15,Oct-17,195,YES,2,"$13,209 ",Mar-06,2012,No
404,0,Mastercard,Debit,5.84566E+15,Sep-24,157,YES,1,"$11,254 ",Jan-20,2020,No
404,1,Mastercard,Debit,5.8152E+15,May-24,528,YES,2,"$16,703 ",Jun-14,2014,No
404,2,Discover,Credit,6.86308E+15,Nov-20,357,YES,2,"$7,300 ",May-10,2010,No
404,3,Mastercard,Credit,5.19036E+15,Aug-22,377,YES,2,"$8,600 ",Feb-12,2012,No
405,0,Visa,Debit,4.43509E+15,Oct-13,429,YES,1,"$17,173 ",Feb-97,2014,No
405,1,Visa,Credit,4.61028E+15,Mar-20,340,YES,2,"$22,000 ",Aug-13,2013,No
405,2,Mastercard,Debit,5.40217E+15,Nov-09,383,YES,1,"$29,739 ",Nov-04,2008,No
406,0,Mastercard,Debit,5.60485E+15,Feb-20,942,YES,2,"$12,905 ",May-10,2010,No
406,1,Mastercard,Debit,5.30417E+15,Oct-22,603,YES,2,$447 ,Aug-06,2015,No
406,2,Mastercard,Debit,5.0182E+15,Feb-14,623,YES,1,"$22,100 ",Nov-06,2009,No
406,3,Visa,Debit,4.3645E+15,Mar-24,787,YES,2,"$7,616 ",Jul-10,2010,No
407,0,Mastercard,Debit,5.82053E+15,Jul-21,136,YES,1,"$17,665 ",Jan-20,2020,No
407,1,Mastercard,Debit,5.69389E+15,Sep-24,794,YES,1,"$12,551 ",Oct-19,2019,No
407,2,Amex,Credit,3.29885E+14,May-22,818,YES,2,"$7,400 ",Feb-20,2020,No
408,0,Mastercard,Debit,5.49561E+15,Jun-24,810,YES,2,"$14,223 ",Feb-13,2013,No
408,1,Discover,Credit,6.43993E+15,Mar-12,549,NO,1,"$11,200 ",Mar-07,2007,No
408,2,Mastercard,Credit,5.90318E+15,Feb-20,618,YES,1,"$14,000 ",Mar-19,2019,No
408,3,Visa,Debit (Prepaid),4.98284E+15,Sep-22,119,YES,2,$79 ,Dec-09,2009,No
409,0,Visa,Debit,4.25448E+15,Feb-20,642,YES,2,"$13,547 ",Feb-20,2020,No
410,0,Mastercard,Debit,5.36611E+15,Jun-22,691,YES,1,"$12,626 ",Feb-20,2020,No
410,1,Mastercard,Debit,5.55963E+15,Jul-24,138,YES,2,"$17,042 ",Jul-11,2011,No
410,2,Mastercard,Debit,5.86899E+15,Jan-24,849,YES,2,"$11,930 ",Jun-11,2011,No
411,0,Mastercard,Debit,5.92134E+15,Dec-13,630,YES,2,"$10,442 ",Nov-05,2005,No
411,1,Mastercard,Debit,5.57606E+15,Aug-23,200,YES,2,"$23,296 ",Nov-09,2014,No
412,0,Visa,Debit,4.4367E+15,Jun-15,894,YES,1,"$19,555 ",Oct-10,2010,No
412,1,Mastercard,Debit,5.21792E+15,Feb-20,902,YES,1,"$22,310 ",Jan-20,2020,No
413,0,Mastercard,Credit,5.50355E+15,Feb-21,850,NO,1,"$14,800 ",Nov-16,2016,No
413,1,Visa,Credit,4.66939E+15,Mar-20,661,YES,2,"$11,300 ",Apr-02,2011,No
413,2,Mastercard,Debit (Prepaid),5.24111E+15,Sep-22,740,YES,1,$31 ,Apr-03,2010,No
413,3,Mastercard,Debit,5.62294E+15,May-24,799,YES,1,"$24,090 ",Sep-98,2009,No
414,0,Mastercard,Debit,5.70017E+15,May-11,638,YES,1,"$18,138 ",Mar-06,2008,No
414,1,Visa,Debit (Prepaid),4.32395E+15,May-23,830,YES,3,$74 ,Jun-18,2018,No
414,2,Mastercard,Debit,5.10715E+15,Jun-21,365,YES,1,"$23,016 ",Jan-10,2010,No
414,3,Visa,Debit,4.75306E+15,Feb-20,352,YES,2,"$35,791 ",Nov-09,2009,No
415,0,Mastercard,Debit,5.6049E+15,Jul-22,330,YES,1,"$15,116 ",Feb-20,2020,No
416,0,Visa,Credit,4.09669E+15,Aug-22,25,YES,1,"$8,000 ",Dec-05,2011,No
416,1,Amex,Credit,3.4916E+14,Jan-23,386,YES,2,"$2,200 ",Feb-19,2019,No
416,2,Visa,Credit,4.53828E+15,Oct-24,387,YES,1,"$6,800 ",Jan-20,2020,No
416,3,Mastercard,Debit,5.73844E+15,Mar-20,798,YES,1,$427 ,May-08,2010,No
417,0,Mastercard,Debit,5.36164E+15,Feb-02,26,YES,1,"$22,112 ",Feb-02,2010,No
417,1,Visa,Debit,4.81537E+15,Apr-18,733,YES,2,"$10,211 ",Sep-13,2013,No
417,2,Mastercard,Debit,5.36372E+15,Dec-08,937,YES,1,"$11,940 ",Oct-07,2011,No
417,3,Visa,Credit,4.23425E+15,Sep-21,115,YES,1,"$7,400 ",Apr-94,2010,No
417,4,Visa,Debit (Prepaid),4.54118E+15,Feb-21,768,NO,1,$64 ,Jun-05,2014,No
417,5,Mastercard,Debit,5.07903E+15,Dec-22,402,YES,2,"$7,343 ",May-04,2013,No
417,6,Visa,Credit,4.49441E+15,Jan-23,670,YES,1,"$5,500 ",Jun-03,2010,No
418,0,Mastercard,Debit,5.90751E+15,Jan-14,855,YES,2,"$3,843 ",Jan-08,2009,No
419,0,Mastercard,Debit (Prepaid),5.71096E+15,Feb-20,91,YES,2,$72 ,Jan-20,2020,No
419,1,Mastercard,Debit,5.96961E+15,Feb-20,729,YES,1,"$21,227 ",Feb-20,2020,No
419,2,Mastercard,Debit,5.18354E+15,May-22,754,YES,1,"$21,943 ",Feb-20,2020,No
420,0,Mastercard,Debit,5.27466E+15,Apr-20,436,YES,2,"$47,833 ",Oct-04,2010,No
420,1,Amex,Credit,3.37117E+14,Sep-18,164,NO,2,"$13,400 ",Apr-13,2013,No
420,2,Amex,Credit,3.39154E+14,Sep-10,909,YES,1,"$21,700 ",Apr-10,2010,No
421,0,Mastercard,Debit,5.48985E+15,May-22,32,YES,2,"$19,122 ",Oct-13,2013,No
421,1,Visa,Debit,4.31274E+15,Nov-19,556,YES,2,"$17,245 ",Jun-19,2019,No
421,2,Mastercard,Debit,5.31238E+15,Jun-22,244,NO,2,"$17,564 ",Dec-10,2010,No
421,3,Visa,Credit,4.67837E+15,Jul-20,966,YES,1,"$14,100 ",Sep-06,2011,No
422,0,Amex,Credit,3.80508E+14,Jul-21,194,YES,1,"$11,400 ",Jan-20,2020,No
422,1,Mastercard,Debit,5.64319E+15,Sep-22,12,YES,2,"$18,281 ",Feb-20,2020,No
423,0,Mastercard,Debit,5.49831E+15,Mar-21,952,YES,1,"$14,471 ",Apr-14,2014,No
423,1,Mastercard,Debit,5.25228E+15,Apr-24,136,YES,1,"$11,399 ",Oct-08,2010,No
423,2,Mastercard,Credit,5.79569E+15,Apr-11,416,YES,3,"$12,400 ",May-08,2008,No
424,0,Visa,Debit,4.98041E+15,Apr-21,28,YES,2,"$27,520 ",Jan-12,2012,No
424,1,Visa,Debit,4.53727E+15,Apr-22,787,YES,1,"$38,648 ",Nov-03,2005,No
424,2,Mastercard,Debit,5.81798E+15,Aug-08,755,YES,2,"$41,051 ",Feb-06,2006,No
424,3,Amex,Credit,3.53091E+14,Mar-14,451,YES,1,"$19,300 ",Jun-09,2018,No
424,4,Mastercard,Debit,5.69366E+15,Dec-23,500,YES,2,"$9,683 ",Aug-07,2016,No
425,0,Mastercard,Debit,5.91904E+15,Feb-20,711,NO,2,"$15,061 ",Jun-07,2007,No
425,1,Mastercard,Debit,5.15933E+15,Feb-22,857,YES,2,"$16,652 ",Oct-08,2010,No
425,2,Mastercard,Debit,5.60906E+15,Feb-20,7,YES,1,"$10,970 ",Sep-13,2013,No
425,3,Visa,Debit,4.46141E+15,Mar-21,277,YES,2,"$15,458 ",Sep-19,2019,No
425,4,Mastercard,Debit,5.95559E+15,Jul-20,522,YES,2,"$11,475 ",May-14,2014,No
425,5,Mastercard,Debit,5.22414E+15,Jan-17,329,YES,1,"$12,031 ",Jul-14,2014,No
426,0,Mastercard,Debit (Prepaid),5.69191E+15,Oct-24,982,YES,1,$49 ,Dec-02,2009,No
427,0,Mastercard,Debit,5.40666E+15,Dec-22,868,YES,2,"$14,408 ",Sep-08,2008,No
427,1,Mastercard,Debit,5.26871E+15,Jul-20,202,YES,1,"$18,035 ",May-10,2010,No
427,2,Mastercard,Debit,5.00715E+15,Apr-22,560,YES,2,"$16,786 ",Sep-08,2008,No
427,3,Visa,Debit,4.34568E+15,Feb-20,331,YES,1,"$12,009 ",Mar-06,2009,No
428,0,Discover,Credit,6.31596E+15,Apr-21,118,YES,1,"$6,800 ",Aug-14,2014,No
428,1,Mastercard,Credit,5.88796E+15,Jul-21,671,YES,1,"$10,300 ",Apr-06,2009,No
428,2,Mastercard,Debit,5.94467E+15,Mar-21,806,YES,2,"$16,274 ",Oct-09,2009,No
429,0,Mastercard,Credit,5.74444E+15,Jan-20,662,YES,1,"$28,000 ",Jan-20,2020,No
429,1,Visa,Debit,4.771E+15,Apr-24,374,YES,2,"$4,201 ",Jan-20,2020,No
430,0,Discover,Credit,6.39698E+15,Oct-15,37,YES,1,"$25,300 ",Apr-07,2012,No
430,1,Visa,Debit,4.95782E+15,Mar-22,413,YES,1,"$40,350 ",Feb-08,2014,No
430,2,Visa,Credit,4.02154E+15,Aug-18,497,YES,1,"$22,500 ",Jun-08,2010,No
430,3,Visa,Debit,4.36139E+15,Oct-23,417,YES,1,"$26,110 ",Dec-12,2012,No
431,0,Mastercard,Debit (Prepaid),5.38785E+15,Feb-20,379,YES,1,$46 ,Jan-20,2020,No
431,1,Mastercard,Debit,5.69058E+15,Sep-20,790,YES,1,"$24,886 ",Feb-20,2020,No
431,2,Visa,Debit,4.10284E+15,Jul-22,452,YES,2,"$12,257 ",Feb-20,2020,No
431,3,Mastercard,Debit,5.77843E+15,Jan-20,217,NO,2,"$27,489 ",Jan-20,2020,No
432,0,Visa,Credit,4.33501E+15,Jul-22,412,YES,1,"$9,700 ",Nov-10,2012,No
432,1,Mastercard,Debit,5.13112E+15,Mar-24,615,YES,1,"$11,712 ",Jun-08,2019,No
432,2,Amex,Credit,3.94151E+14,Feb-20,175,YES,2,"$5,900 ",Jul-14,2014,No
432,3,Visa,Debit,4.68482E+15,Apr-21,164,YES,1,"$10,318 ",Jun-16,2016,No
433,0,Mastercard,Debit,5.8838E+15,Dec-14,346,YES,1,"$3,836 ",Jul-06,2009,No
433,1,Visa,Credit,4.49517E+15,Dec-23,269,YES,2,"$13,200 ",Jun-10,2011,No
433,2,Mastercard,Debit (Prepaid),5.03719E+15,Aug-21,955,NO,2,$56 ,Nov-09,2011,No
434,0,Amex,Credit,3.25863E+14,Jan-20,936,YES,2,"$13,800 ",Jan-20,2020,No
435,0,Mastercard,Debit,5.21946E+15,Sep-22,80,YES,2,"$7,767 ",Jan-20,2020,No
436,0,Visa,Debit,4.70227E+15,Sep-22,749,YES,1,"$14,999 ",May-10,2010,No
436,1,Mastercard,Debit,5.21577E+15,Jan-24,897,YES,2,"$9,281 ",Jul-13,2013,No
436,2,Visa,Debit,4.51423E+15,Mar-24,763,NO,1,"$15,512 ",Nov-13,2013,No
437,0,Visa,Debit (Prepaid),4.3163E+15,Apr-23,621,YES,2,$67 ,Feb-20,2020,No
437,1,Visa,Debit,4.8783E+15,Sep-22,33,YES,1,"$10,564 ",Nov-09,2010,No
438,0,Mastercard,Debit,5.68709E+15,Aug-19,289,YES,1,"$13,206 ",Mar-18,2018,No
438,1,Visa,Debit,4.8778E+15,Aug-24,237,YES,1,"$11,809 ",Nov-04,2010,No
438,2,Discover,Credit,6.77301E+15,Jun-24,38,YES,1,"$8,800 ",Mar-06,2008,No
439,0,Visa,Debit,4.19442E+15,May-18,208,NO,1,"$29,793 ",Oct-17,2017,No
